Brand,Name,Category,Size and Price,Description,ImageURL
1028,花顏唇語霧萃唇膏,唇膏,3g / NT$ 350,換季、悶熱、寒冷、溫度舒適、氣候乾燥、氣候潮濕、溫差大、冷氣房,https://dg9ugnb21lig7.cloudfront.net/uploads/product_image/100516/1/_160x160_100516_20210331023741TNfKXulgZp.png
1028,亮白對策透亮面膜,保養面膜,5入 / NT$ 299,換季,https://dg9ugnb21lig7.cloudfront.net/uploads/product_image/79881/1/_160x160_79881.jpg
1028,亮采眼部隔離精華,眼部打底,3g / NT$ 450,--,https://dg9ugnb21lig7.cloudfront.net/uploads/product_image/26513/1/_160x160_26513_w_250xh_250xfar_C.jpg
1028,城市CC持色唇膏,唇膏,8g / NT$ 390,換季、悶熱、溫度舒適、氣候潮濕、溫差大,https://dg9ugnb21lig7.cloudfront.net/uploads/product_image/78178/1/_160x160_78178.jpg
1028,恆采亮白CC粉底蜜,CC霜,35g / NT$ 580,換季、悶熱、寒冷、氣候乾燥、氣候潮濕、冷氣房,https://dg9ugnb21lig7.cloudfront.net/uploads/product_image/63252/1/_160x160_63252_w_250xh_250xfar_C.jpg
1028,恆采保濕CC粉底蜜,CC霜,35g / NT$ 599,換季、悶熱、寒冷、氣候乾燥、氣候潮濕、溫差大、冷氣房,https://dg9ugnb21lig7.cloudfront.net/uploads/product_image/63251/1/_160x160_63251_w_250xh_250xfar_C.jpg
1028,持久著迷無瑕光粉底,粉底液,30ml / NT$ 480,換季、悶熱、氣候乾燥、溫差大,https://dg9ugnb21lig7.cloudfront.net/uploads/product_image/88391/1/_160x160_88391.jpg
1028,持光修片餅,蜜粉餅,3g / NT$ 480,寒冷、氣候潮濕、溫差大,https://dg9ugnb21lig7.cloudfront.net/uploads/product_image/74015/1/_160x160_74015.jpg
1028,持妝深V保濕面膜,保養面膜,/ NT$ 99,換季、溫度舒適、溫差大,https://dg9ugnb21lig7.cloudfront.net/uploads/product_image/58265/1/_160x160_58265_w_250xh_250xfar_C.jpg
1028,星光閃爍眼影臥蠶筆,眼影筆,0.28g / NT$ 240,--,https://dg9ugnb21lig7.cloudfront.net/uploads/product_image/114460/1/_160x160_114460_20230927003447YpRLuRDegi.jpg
1028,星光晶豔頰彩餅,腮紅,3g / NT$ 360,--,https://dg9ugnb21lig7.cloudfront.net/uploads/images/product_default_160x160.png
1028,星光聚焦蜜粉餅,蜜粉餅,15g / NT$ 500,--,https://dg9ugnb21lig7.cloudfront.net/uploads/product_image/26514/1/_160x160_26514_w_250xh_250xfar_C.jpg
1028,柔焦毛孔隱形露,其它妝前,15ml / NT$ 450,悶熱、溫差大、冷氣房,https://dg9ugnb21lig7.cloudfront.net/uploads/product_image/74767/1/_160x160_74767.jpg
1028,柔礦BB隔離乳 SPF40,粉霜,30ml / NT$ 390,換季、悶熱、寒冷、溫度舒適、氣候乾燥、氣候潮濕、溫差大、冷氣房,https://dg9ugnb21lig7.cloudfront.net/uploads/images/product_default_160x160.png
1028,玻尿酸雙采保濕粉餅SPF25★,粉餅,9g / NT$ 480,寒冷、溫度舒適、氣候乾燥、冷氣房,https://dg9ugnb21lig7.cloudfront.net/uploads/product_image/50676/1/_160x160_50676_w_250xh_250xfar_C.jpg
1028,玻尿酸礦物保濕蜜粉SPF15★,蜜粉,7.5g / NT$ 480,悶熱、寒冷、溫度舒適,https://dg9ugnb21lig7.cloudfront.net/uploads/images/product_default_160x160.png
1028,眉好持色雙用細眉筆,眉筆,0.03+0.08g / NT$ 330,換季、悶熱、寒冷、溫度舒適、氣候乾燥、氣候潮濕、溫差大、冷氣房,https://dg9ugnb21lig7.cloudfront.net/uploads/product_image/89753/1/_160x160_89753.jpg
1028,美不勝收限量眼頰盤,多功能彩妝,/ NT$ 580,氣候乾燥,https://dg9ugnb21lig7.cloudfront.net/uploads/product_image/99403/1/_160x160_99403_20201216012115jLlflMjApY.jpg
1028,美肌修片筆,遮瑕筆,2g / NT$ 380,換季、溫度舒適、氣候乾燥、溫差大,https://dg9ugnb21lig7.cloudfront.net/uploads/product_image/72374/1/_160x160_72374.jpg
1028,美眉特色畫筆,眉筆,0.35g / NT$,--,https://dg9ugnb21lig7.cloudfront.net/uploads/images/product_default_160x160.png
1028,胖胖彈彈蜜粉刷,刷具,/ NT$ 460,--,https://dg9ugnb21lig7.cloudfront.net/uploads/product_image/90929/1/_160x160_90929.jpg
1028,飛我莫屬限量眼彩盤,眼影盤,8.1g / NT$ 490/520,換季、悶熱、氣候潮濕、溫差大、冷氣房,https://dg9ugnb21lig7.cloudfront.net/uploads/product_image/108421/4/_160x160_32041.png
1028,飛炫濃翹睫毛膏,睫毛膏,9.5g / NT$ 390,換季、悶熱、寒冷、氣候乾燥、氣候潮濕、冷氣房,https://dg9ugnb21lig7.cloudfront.net/uploads/product_image/72373/1/_160x160_72373.jpg
1028,飛激長瞬翹防水睫毛膏,睫毛膏,8g / NT$ 390,換季、悶熱、寒冷、溫度舒適、氣候乾燥、氣候潮濕、溫差大、冷氣房,https://dg9ugnb21lig7.cloudfront.net/uploads/product_image/87980/1/_160x160_87980.jpg
1028,飛激長瞬翹防水睫毛膏EX,睫毛膏,8g / NT$ 390,寒冷、溫度舒適、溫差大,https://dg9ugnb21lig7.cloudfront.net/uploads/product_image/108419/1/_160x160_108419_20221217042359rGHsugzMNt.png
1028,飛激細瞬翹防水睫毛膏,睫毛膏,3.5g / NT$ 390,換季、溫度舒適、氣候乾燥,https://dg9ugnb21lig7.cloudfront.net/uploads/product_image/114461/1/_160x160_114461_20230927003958PztDWMpaQw.jpg
1028,飛激濃瞬翹防水睫毛膏,睫毛膏,8g / NT$ 390,換季、悶熱、寒冷、溫度舒適、氣候乾燥、溫差大、冷氣房,https://dg9ugnb21lig7.cloudfront.net/uploads/product_image/100327/1/_160x160_100327_20210317101623ZwJRSBDTui.jpg
1028,修片狂校色遮瑕盤,遮瑕膏,/ NT$ 390,溫度舒適、冷氣房,https://dg9ugnb21lig7.cloudfront.net/uploads/product_image/110860/1/_160x160_110860_20230407014449mFiUmnmMbN.png
1028,唇迷心竅好色唇釉,唇釉,7ml / NT$ 350,換季、悶熱、寒冷、溫度舒適、氣候乾燥、氣候潮濕、溫差大、冷氣房,https://dg9ugnb21lig7.cloudfront.net/uploads/product_image/92958/2/_160x160_17523.jpg
1028,唇迷心竅好色唇膏,唇膏,3.5g / NT$ 320,換季、悶熱、寒冷、溫度舒適、氣候乾燥、氣候潮濕、溫差大、冷氣房,https://dg9ugnb21lig7.cloudfront.net/uploads/product_image/89284/1/_160x160_89284.jpg
1028,唇迷心竅絲絨唇霧,唇膏,7ml / NT$ 350,溫度舒適,https://dg9ugnb21lig7.cloudfront.net/uploads/product_image/112874/1/_160x160_112874_20230628011911rdRSpqFLdb.jpg
1028,唇迷心竅潤萃唇膏,唇膏,3g / NT$ 350,換季、悶熱、寒冷、溫度舒適、氣候乾燥、氣候潮濕、溫差大、冷氣房,https://dg9ugnb21lig7.cloudfront.net/uploads/product_image/108420/1/_160x160_108420_20221217080326FOEdeuQCZA.jpg
1028,時刻保濕玫瑰精粹玻尿酸面膜,保養面膜,3片 / NT$ 199,換季、悶熱、寒冷、溫度舒適、氣候乾燥、溫差大,https://dg9ugnb21lig7.cloudfront.net/uploads/product_image/92692/1/_160x160_92692.jpg
1028,時刻淨白巴西莓果維他命面膜,保養面膜,3片 / NT$ 199,換季、悶熱、寒冷、溫度舒適、氣候乾燥、氣候潮濕、溫差大、冷氣房,https://dg9ugnb21lig7.cloudfront.net/uploads/product_image/92694/1/_160x160_92694.jpg
1028,校色遮瑕盤EX,其它遮瑕,/ NT$ 420,悶熱、氣候潮濕,https://dg9ugnb21lig7.cloudfront.net/uploads/product_image/112895/1/_160x160_112895_20230630022745tesPglEiMb.jpg
1028,根根分明睫毛梳,其它彩妝工具,/ NT$,--,https://dg9ugnb21lig7.cloudfront.net/uploads/images/product_default_160x160.png
1028,神采奕奕定妝噴霧,其它定妝,60ml / NT$ 350,溫度舒適、氣候乾燥、冷氣房,https://dg9ugnb21lig7.cloudfront.net/uploads/images/product_default_160x160.png
1028,純胺基酸深層潔顏乳,洗面乳,80ml / NT$ 199,換季、悶熱、寒冷、溫度舒適、氣候乾燥、氣候潮濕、溫差大、冷氣房,https://dg9ugnb21lig7.cloudfront.net/uploads/product_image/46353/1/_160x160_46353_w_250xh_250xfar_C.jpg
1028,胺基酸健康淨潤卸妝乳,卸妝乳,200ml / NT$ 229,溫度舒適、溫差大,https://dg9ugnb21lig7.cloudfront.net/uploads/product_image/113000/1/_160x160_113000_20230705013346knHTrGGoHX.jpg
1028,胺基酸健康淨潤潔顏乳,洗面乳,100g / NT$ 220,換季、悶熱、溫度舒適、氣候乾燥、氣候潮濕、溫差大、冷氣房,https://dg9ugnb21lig7.cloudfront.net/uploads/product_image/106880/1/_160x160_106880_20220901062357KgDIfpFofJ.jpg
1028,胺基酸健康極潤護唇膏,護唇膏,3g / NT$ 199,換季、悶熱、寒冷、溫度舒適、氣候乾燥、氣候潮濕、溫差大、冷氣房,https://dg9ugnb21lig7.cloudfront.net/uploads/product_image/113002/1/_160x160_113002_20230705013647TTRpaEOsNw.jpg
